,name,cusip,firstyr,gvkey,lastyr,pdpco,pdpseq,begyr,endyr,match
13801,CHECK EXPRESS INC,162774,1988,20205,1994,20205,1,1988,1994,
13802,AMERICAN BANCORP/NV,24073,1993,20208,1996,20208,1,1993,1996,
13803,ARC WIRELESS SOLUTIONS INC,03878K,2000,20209,2006,20209,1,2000,2006,1
13804,CELLMETRIX INC,15116A,1988,20210,1999,20210,1,1988,1999,0
13805,ENERPLUS RESOURCES FUND,29274D,2001,20214,2006,20214,1,2001,2006,0
13806,STARINVEST GROUP INC,85528X,1987,20216,2005,20216,1,1987,2005,0
13807,QUEST RESOURCE CORP,748349,1986,20217,2006,20217,1,1986,2006,
13808,HILLHAVEN CORP/NV,431576,1988,20218,1994,20218,2,1988,1994,
13809,GERANT INDUSTRIES INC,37369Y,1989,20220,1992,20220,1,1989,1992,0
13810,PACIFIC BK N A SAN FRANCISCO,694026,1993,20221,1998,20221,1,1993,1998,
13811,CALIFORNIA COASTAL CMNTYS,129915,1989,20237,2006,20237,1,1989,2006,
13812,BEMA GOLD CORP,08135F,1988,20243,2005,20243,1,1988,2005,
13813,BIOMIRA INC,09161R,1987,20245,2006,20245,1,1987,2006,1
13814,GLENCAIRN GOLD CORP,377903,1994,20247,2005,20247,1,1994,2005,0
13815,BRACKNELL CORP,10382K,1999,20252,2000,20252,1,1999,2000,
13816,BUNKER HILL MINING CO INC,12061F,1988,20257,1989,20257,1,1988,1989,
13817,CHC HELICOPTER CORP  -CL A,12541C,1989,20259,2005,20259,1,1989,2005,
13818,HADSON ENERGY RESOURCES CP,405019,1989,20293,1992,20293,1,1989,1992,
13819,MAXXIM MEDICAL INC,57777G,1989,20294,1998,20294,1,1989,1998,1
13820,I-FLOW CORP,449520,1989,20296,2006,20296,1,1989,2006,1
13821,LNB BANCORP INC,502100,1993,20297,2006,20297,1,1993,2006,
13822,CHAI NA TA CORP,15745J,1991,20302,2006,20302,1,1991,2006,
13823,CINRAM INTL INCOME FUND,172595,1988,20309,2006,20309,1,1988,2006,
13824,COTT CORP QUE,22163N,1987,20338,2006,20338,2,1987,2006,
13825,COUNSEL CORP,22226R,1987,20339,2006,20339,1,1987,2006,
13826,DELRINA CORP-OLD,24799X,1990,20351,1994,20351,1,1990,1994,0
13827,GENERAL MOTORS CORP-PRE FASB,37099Z,1969,20355,2006,5073,-1,,,1
13828,FORD MOTOR CO-PRE FASB,34599Z,1969,20356,2006,4839,-1,,,1
13829,GENERAL ELECTRIC CO-PRE FASB,36999Z,1969,20357,2006,5047,-1,,,1
13830,CHRYSLER CORP-PRE FASB,17199Z,1969,20358,1997,3022,-1,,,1
13831,XEROX CORP-PRE FASB,98499Z,1969,20359,1994,11636,-1,,,1
13832,TEXTRON INC-PRE FASB,88399Z,1969,20360,2006,10519,-1,,,1
13833,WEYERHAEUSER CO-PRE FASB,96299Z,1969,20361,2006,11456,-1,,,1
