,name,cusip,firstyr,gvkey,lastyr,pdpco,pdpseq,begyr,endyr,match
0,A & E PLASTIK PAK INC,32,1961,1000,1977,1000,1,1961,1977,1
1,A & M FOOD SERVICES INC,165,1983,1001,1985,1001,1,1983,1985,
2,AAI CORP,352,1960,1002,1972,1002,1,1960,1972,
3,A.A. IMPORTING CO INC,354,1982,1003,1989,1003,1,1982,1989,
4,AAR CORP,361,1965,1004,2005,1004,1,1965,2005,1
5,A.B.A. INDUSTRIES INC,370,1974,1005,1981,1005,1,1974,1981,
6,ABC INDS INC,736,1974,1006,1982,1006,1,1974,1982,
7,ABKCO INDUSTRIES INC,774,1974,1007,1984,1007,1,1974,1984,0
8,ABM COMPUTER SYSTEMS INC,775,1983,1008,1985,1008,1,1983,1985,
9,ABS INDUSTRIES INC,781,1981,1009,1994,1009,1,1981,1994,
10,ACF INDUSTRIES HOLDING CORP,00099Y,1950,1010,2003,1010,1,1950,2003,1
11,ACS ENTERPRISES INC,872,1982,1011,1994,1011,1,1982,1994,
12,ACS INDUSTRIES INC,874,1974,1012,1989,1012,1,1974,1989,1
13,ADC TELECOMMUNICATIONS INC,886,1974,1013,2006,1013,1,1974,2006,1
14,ADDSCO INDUSTRIES INC,887,1974,1014,1992,1014,1,1974,1992,0
15,ADI ELECTRONICS INC,893,1982,1015,1987,1015,1,1982,1987,
16,AEC INC,1015,1974,1016,1987,1016,1,1974,1987,1
17,AEL INDUSTRIES  -CL A,1030,1960,1017,1994,1017,1,1960,1994,1
18,AES TECHNOLOGY SYSTEMS INC,1032,1974,1018,1987,1018,1,1974,1987,1
19,AFA PROTECTIVE SYSTEMS INC,1038,1970,1019,2001,1019,1,1970,2001,
20,AFG INDUSTRIES INC,1054,1962,1020,1989,1020,1,1962,1989,1
21,AFP IMAGING CORP,1058,1980,1021,2006,1021,1,1980,2006,1
22,AGM INDUSTRIES INC,1220,1974,1022,1982,1022,1,1974,1982,1
23,AGS COMPUTERS INC,1240,1981,1023,1987,1023,1,1981,1987,
24,A I A INDUSTRIES INC,1320,1983,1024,1983,1024,1,1983,1983,
25,A I C INTL INC,1348,1973,1025,1995,1025,1,1973,1995,
26,AID INC-DEL CL A,1360,1966,1026,1976,1026,1,1966,1976,
27,A I M COS,1412,1960,1027,1969,1027,1,1960,1969,
28,AIM TELEPHONES INC,1423,1981,1028,1990,1028,1,1981,1990,
29,A.I.N. LEASING CORP,1425,1982,1029,1983,1029,1,1982,1983,
30,A I T S INC,1444,1973,1030,1984,1030,1,1973,1984,
31,A J INDS INC,1476,1960,1031,1975,1031,1,1960,1975,
32,AKF FOODS INC,1545,1974,1032,1982,1032,1,1974,1982,
33,A L D INC,1604,1974,1033,1993,1033,1,1974,1993,1
34,ALPHARMA INC  -CL A,20813,1983,1034,2006,1034,1,1983,2006,1
35,UNITED DOMINION INDUSTRIES,909914,1978,1036,2000,1036,1,1978,2000,1
36,AM COMMUNICATIONS INC,1674,1979,1037,2001,1037,1,1979,2001,
37,AMC ENTERTAINMENT INC -OLD,1669,1982,1038,2003,164271,1,1982,2003,
38,AMC INVESTORS INC,1670,1965,1039,1978,1039,1,1965,1978,
39,AMF INC,1688,1950,1040,1984,1040,1,1950,1984,1
40,AMI INDUSTRIES INC,1715,1960,1041,1972,1041,1,1960,1972,1
41,AMI SYSTEMS INC,1719,1981,1042,1984,1042,1,1981,1984,
42,MULTIGRAPHICS INC,625440,1950,1043,1999,1043,1,1950,1999,1
43,AMK CORP,1732,1960,1044,1969,1044,1,1960,1969,
44,AMR CORP/DE,1765,1950,1045,2006,1045,1,1950,2006,1
45,AMS/REALSTAR INC,1785,1982,1046,1986,1046,1,1982,1986,0
46,ANEFCO INC,1812,1980,1047,1983,1047,1,1980,1983,0
47,ANR PIPELINE CO,1814,1973,1048,2006,1048,1,1973,2006,1
48,APF ELECTRONICS,1855,1972,1049,1982,1049,1,1972,1982,
49,CECO ENVIRONMENTAL CORP,125141,1974,1050,2006,1050,1,1974,2006,
50,API INSTRUMENTS CO,1860,1960,1051,1968,1051,1,1960,1968,
51,API TRUST,1864,1973,1052,1981,1052,1,1973,1981,
52,AFI CORP,1900,1974,1053,1980,1053,1,1974,1980,
53,ASK GROUP INC,1903,1981,1054,1993,1054,1,1981,1993,
54,AST RESEARCH INC,1907,1984,1055,1996,1055,1,1984,1996,1
55,AEROFLEX INC,7768,1974,1056,2006,1056,1,1974,2006,1
56,ABEX CORP,1935,1964,1057,1967,1057,1,1964,1967,
57,APL CORP,2024,1960,1058,1992,1058,1,1960,1992,1
58,A P S INC,2030,1971,1059,1980,1059,1,1971,1980,
59,ARI INDUSTRIES INC,2048,1973,1061,1979,1061,1,1973,1979,1
60,ASA LTD,G3156P,1966,1062,2006,1062,1,1966,2006,
61,ASI,2056,1975,1063,1981,1063,1,1975,1981,1
62,ASI COMMUNICATIONS INC,2058,1974,1064,1985,1064,1,1974,1985,
63,AT&E CORP,2062,1982,1065,1990,1065,1,1982,1990,1
64,ATE ENTERPRISES INC,2068,1984,1066,1985,1066,1,1984,1985,
65,ATI INC,00099X,1960,1067,1983,1067,1,1960,1983,1
66,A T INDUSTRIES INC,2078,1974,1068,1986,1068,1,1974,1986,
67,ATV SYSTEMS INC,2095,1982,1069,1984,1069,1,1982,1984,
68,AVC CORP,2280,1968,1070,1979,1070,1,1968,1979,1
69,A V ELECTRONICS INC,2344,1966,1071,1969,1071,1,1966,1969,
70,AVX CORP,2444,1973,1072,2006,1072,1,1973,2006,1
71,AW COMPUTER SYSTEMS  -CL A,2448,1980,1073,1997,1073,1,1980,1997,1
72,AZL RESOURCES INC,2455,1965,1074,1981,1074,1,1965,1981,
73,PINNACLE WEST CAPITAL CORP,723484,1951,1075,2006,1075,1,1951,2006,1
74,AARON RENTS INC,2535,1981,1076,2006,1076,1,1981,2006,
75,AARONSON BROTHERS STORES CP,2536,1974,1077,1979,1077,1,1974,1979,0
76,ABBOTT LABORATORIES,2824,1950,1078,2006,1078,1,1950,2006,1
77,ARP CORP,2904,1960,1079,1974,1768,1,1960,1973,1
78,ABERDEEN PETROLEUM CORP-CL A,3230,1963,1080,1975,1080,1,1963,1975,
79,ABITIBI CONSOLIDATED INC,3924,1974,1081,2006,1081,1,1974,2006,1
80,SERVIDYNE INC,81765M,1977,1082,2005,1082,1,1977,2005,0
81,ACA JOE INC,3870,1973,1083,1991,1083,1,1973,1991,
82,WORLDS.COM INC,98156G,1974,1084,2000,1084,1,1974,2000,0
83,AT&T TECHNOLOGIES INC,3999,1970,1085,1984,1581,-1,,,1
84,AMETECH INC,31095,1974,1086,1996,1086,1,1974,1996,0
85,ACADIA PETROLEUM CORP,4220,1981,1087,1982,1087,1,1981,1982,
86,ACAPULCO RESTAURANTS,4295,1977,1088,1985,1088,1,1977,1985,0
87,ACCELERATORS INC,4302,1971,1089,1979,1089,1,1971,1979,1
88,ACCESS CORP,4312,1974,1090,1997,1090,1,1974,1997,1
89,ACCO WORLD CORP,4330,1981,1091,1986,1091,1,1981,1986,1
90,ACCU TEST SYSTEMS INC,4377,1980,1092,1981,1092,1,1980,1981,
91,ACCURAY CORP,4396,1966,1093,1985,1093,1,1966,1985,1
92,ACETO CORP,4446,1963,1094,2006,1094,1,1963,2006,1
93,ACKERLEY GROUP INC,4527,1980,1095,2001,1095,1,1980,2001,0
94,ACMAT CORP  -CL A,4616,1971,1097,2003,1097,1,1971,2003,1
95,ACME-CLEVELAND CORP,4626,1968,1098,1995,1098,1,1968,1995,1
96,ACME ELECTRIC CORP,4644,1960,1099,2000,1099,1,1960,2000,1
97,ACME GENERAL CORP,4671,1968,1100,1984,1100,1,1968,1984,1
98,ACME-HAMILTON MFG CORP,4680,1974,1101,1977,1101,1,1974,1977,1
99,ACME INDS INC,4698,1960,1102,1970,1102,1,1960,1970,
100,ACME PRECISION PRODUCTS INC,4770,1960,1103,1988,1103,1,1960,1988,1
101,ACME UNITED CORP,4816,1968,1104,2006,1104,1,1968,2006,1
102,ACRO ENERGY CORP,4898,1973,1106,1985,1106,1,1973,1985,
103,ACE HARDWARE CORP,00499Y,1976,1107,2002,1107,1,1976,2002,1
104,ACTION INDUSTRIES INC,5041,1969,1108,1997,1108,1,1969,1997,1
105,ACTION PRODUCTS INTL INC,4920,1983,1109,2006,1109,1,1983,2006,
106,ACTIVISION INC,4930,1982,1111,2005,1111,1,1982,2005,1
107,ACTMEDIA INC,5049,1982,1112,1988,1112,1,1982,1988,1
108,ACTON CORP  -OLD,00599Y,1961,1113,1987,1113,1,1961,1987,
109,ACUSHNET CO,5086,1962,1114,1975,1114,1,1962,1975,1
110,ADAC LABORATORIES,5313,1979,1115,2000,1115,1,1979,2000,1
111,ADACORP INC,5315,1974,1116,1990,1116,1,1974,1990,0
112,RELM WIRELESS CORP,759525,1973,1117,2006,1117,1,1973,2006,
113,ADAMS DRUG INC,6203,1972,1118,1983,1118,1,1972,1983,
114,ADAMS-MILLIS CORP,6284,1950,1120,1987,1120,1,1950,1987,
115,ADAMS RESOURCES & ENERGY INC,6351,1974,1121,2006,1121,1,1974,2006,
116,ADAMS RUSSELL,6356,1963,1122,1986,1122,1,1963,1986,1
117,ADCOR ELECTRONICS INC,6511,1984,1123,1985,1123,1,1984,1985,
118,ADDISON-WESLEY PUB  -CL B,6680,1962,1124,1986,1124,1,1962,1986,
119,ADDITIVE TECHNOLOGY CORP,6688,1984,1125,1990,1125,1,1984,1990,1
120,ADDMASTER CORP,6698,1973,1126,1988,1126,1,1973,1988,1
121,ADHESIVES & CHEMICALS INC,87978Q,1977,1127,1984,1127,1,1977,1984,
122,ADIA SERVICES INC,6874,1983,1128,1993,1128,1,1983,1993,
123,ADVANCED FUEL SYSTEMS INC,6901,1981,1129,1982,1129,1,1981,1982,
124,ADVANCED LOGIC SYSTEMS INC,6902,1983,1130,1987,1130,1,1983,1987,
125,ADLEY CORP,7086,1961,1131,1972,1131,1,1961,1972,0
126,ADMINISTRATIVE SYSTEMS INC,7104,1967,1132,1971,1132,1,1967,1971,
127,ADMIRAL CORP,7158,1950,1133,1972,1133,1,1950,1972,
128,ADOBE BUILDING CENTERS INC,7235,1974,1134,1977,1134,1,1974,1977,
129,ADOBE OIL & GAS CORP,7239,1970,1135,1984,1135,1,1970,1984,
130,ADRIAN STEEL CO,7338,1966,1136,1972,1136,1,1966,1972,1
131,ADVANCE CIRCUITS INC,7383,1974,1137,1994,1137,1,1974,1994,1
132,ADVANCE ROSS CORP,00750D,1962,1138,1994,1138,1,1962,1994,
133,ADVANCED CHEMICAL TECHNOLOGY,7509,1973,1139,1980,1139,1,1973,1980,1
134,ADVANCED COMMUNICATIONS INC,7510,1983,1140,1986,1140,1,1983,1986,
135,ADVANCED COMPUTER TECHNIQUES,7518,1973,1141,1992,1141,1,1973,1992,
136,ADVANCED ENERGY CORP,00753L,1982,1142,1990,1142,1,1982,1990,
137,ADVANCED ENERGY RESOURCES,00753M,1984,1143,1988,1143,1,1984,1988,
138,ADVANCED DRILLING SYSTEMS,7531,1976,1144,1985,1144,1,1976,1985,
139,ADVANCED SYSTEMS INC,7547,1979,1145,1986,1145,1,1979,1986,1
140,ADVENT CORP,7551,1972,1146,1979,1146,1,1972,1979,1
141,ADVERTISING UNLIMITED INC,7557,1974,1147,1986,1147,1,1974,1986,1
142,ADVEST GROUP INC,7566,1981,1148,2000,1148,1,1981,2000,1
143,AEGIS CORP,7603,1960,1150,1983,1150,1,1960,1983,1
144,AEQUITRON MEDICAL INC,7631,1983,1151,1995,1151,1,1983,1995,1
145,AERCO CORP CL A,7644,1961,1152,1972,1152,1,1961,1972,
146,AERO-FLOW DYNAMICS INC,7680,1960,1153,1981,1153,1,1960,1981,
147,AERO SYSTEMS ENGINEERING INC,7692,1975,1154,2002,1154,1,1975,2002,1
148,AERO SYSTEMS INC,7698,1973,1155,1991,1155,1,1973,1991,
149,AERODEX INC,7752,1967,1156,1974,1156,1,1967,1974,
150,AEROJET GENERAL CORP,7788,1950,1157,1971,1157,1,1950,1971,1
151,AEROLOGICAL RESEARCH INC,7806,1965,1158,1969,1158,1,1965,1969,1
152,AERONCA INC,7842,1960,1159,1985,1159,1,1960,1985,1
153,AERONIX INC,7860,1968,1160,1968,1160,1,1968,1968,
154,ADVANCED MICRO DEVICES,7903,1972,1161,2006,1161,1,1972,2006,1
155,ADVENTURE LANDS OF AMERICA,7905,1974,1162,1984,1162,1,1974,1984,
156,ADVANCED MONITORING SYS INC,7910,1983,1163,1993,1163,1,1983,1993,1
157,MCI INC,552691,1974,1164,2004,1164,1,1974,2004,1
158,B-FAST CORP,55413,1980,1165,2006,1165,1,1980,2006,
159,ASM INTERNATIONAL NV,N07045,1981,1166,2006,1166,1,1981,2006,1
160,ADVANT CORP,7915,1981,1167,1981,1167,1,1981,1981,1
161,ADVANCED ENERGY CONCEPTS INC,7919,1983,1168,1988,1168,1,1983,1988,
162,ADV GENETIC SCIENCES,7920,1982,1169,1987,1169,1,1982,1987,
163,ADVANCED TELECOMMUN-OLD,00799Y,1984,1170,1984,1170,1,1984,1984,
164,ADVANCED TELECOMMUNICATIONS,7923,1984,1171,1991,1171,1,1984,1991,
165,ADV PROFESSIONAL SALES-OLD,7926,1982,1172,1985,1172,1,1982,1985,
166,AEROSONIC CORP,8015,1973,1173,2005,1173,1,1973,2005,1
167,AEROTRON INC,8050,1960,1174,1978,1174,1,1960,1978,1
168,AEROVOX CORP,8086,1960,1175,1972,20900,1,1960,1972,1
169,AETNA BUSINESS CREDIT INC,8092,1976,1176,1979,1176,1,1976,1979,
170,AETNA INC,00817Y,1972,1177,2006,1177,1,1972,2006,1
171,AFFILIATED BANKSHARES COLO,8182,1974,1178,1991,1178,1,1974,1991,
172,AFFILIATED CAPITAL CORP,8185,1978,1179,1981,1179,1,1978,1981,
173,AFFILIATED HOSPITAL PRDS,8230,1966,1180,1983,1180,1,1966,1983,1
174,AFFILIATED PUBNS,8262,1973,1181,1992,1181,1,1973,1992,
175,AFTER SIX INC,8315,1970,1182,1984,1182,1,1970,1984,1
176,IDNA INC,45169P,1982,1183,2005,1183,1,1982,2005,
177,AGGIE OIL CO,8458,1980,1184,1981,1184,1,1980,1981,0
178,AGNICO EAGLE MINES LTD,8474,1973,1186,2006,1186,1,1973,2006,0
179,AGOIL INC-OLD,8484,1980,1188,1981,1188,1,1980,1981,0
180,AGRI DYNAMICS INC,8495,1974,1190,1994,1190,1,1974,1994,1
181,AGROW INDUSTRIES INC,8545,1974,1191,1983,1191,1,1974,1983,
182,AGUIRRE CO,8644,1950,1192,1978,1192,1,1950,1978,0
183,AGWAY INC,8662,1974,1193,2002,1193,1,1974,2002,1
184,AHMANSON (H F) & CO,8677,1974,1194,1997,1194,1,1974,1997,0
185,AID AUTO STORES INC  -OLD,8708,1974,1195,1984,61090,1,1974,1984,
186,AIKEN INDUSTRIES INC,8788,1967,1196,1975,1196,1,1967,1975,1
187,AILEEN INC,8878,1961,1197,1993,1197,1,1961,1993,0
188,AGRICULTURAL & INDL DEV INC,8900,1973,1199,1979,1199,1,1973,1979,
189,AIR CALIFORNIA,9086,1967,1200,1972,1200,1,1967,1972,
190,AIR CARGO EQUIPMENT CORP,9095,1974,1201,1987,1201,1,1974,1987,1
191,AIR CHAPARRAL INC,9100,1980,1202,1982,1202,1,1980,1982,
192,AIR EXPRESS INTERNATIONAL CP,9104,1974,1203,1998,1203,1,1974,1998,
193,AIR FLORIDA SYSTEM INC,9114,1974,1204,1983,1204,1,1974,1983,
194,AIR FORWARDERS INC,9118,1974,1205,1978,1205,1,1974,1978,
195,AIR INDS CORP,9122,1962,1206,1973,1206,1,1962,1973,1
196,AIR KING CORP,9124,1962,1207,1973,1207,1,1962,1973,
197,AIR MIDWEST INC,9135,1981,1208,1990,1208,1,1981,1990,
198,AIR PRODUCTS & CHEMICALS INC,9158,1950,1209,2006,1209,1,1950,2006,1
199,AIR T INC,9207,1982,1210,2005,1210,1,1982,2005,
200,AIR WEST INC,9230,1960,1211,1968,1211,1,1960,1968,
201,AIR WISCONSIN SERVICES INC,9236,1974,1212,1990,1212,1,1974,1990,
202,AIRBORNE INC,9269,1965,1213,2002,1213,1,1965,2002,1
203,ACI HOLDING INC,865,1982,1214,1986,1214,1,1982,1986,
204,AIRCO INC,9292,1950,1215,1977,1215,1,1950,1977,1
205,AIRCRAFT INSTRUMENT & DEV,9346,1973,1216,1987,1216,1,1973,1987,
206,AIRLIFT INTERNATIONAL INC,9374,1974,1217,1980,1217,1,1974,1980,0
207,AIRPAX ELECTRONICS INC,9446,1960,1218,1975,1218,1,1960,1975,1
208,AIRWICK INDUSTRIES INC,9536,1963,1219,1973,1219,1,1963,1973,1
209,AJAX MAGNETHERMIC CORP,9644,1960,1220,1974,1220,1,1960,1974,1
210,AKZONA,10202,1950,1221,1981,1221,1,1950,1981,1
211,ALA MOANA HAWAII PROPERTIES,10207,1982,1222,1987,1222,1,1982,1987,0
212,ALABAMA BY-PRODUCTS  -CL B,10239,1966,1223,1984,1223,1,1966,1984,
213,ALABAMA GAS CORP,10284,1982,1224,2006,1224,1,1982,2006,
214,ALABAMA POWER CO,10392,1964,1225,2006,1225,1,1964,2006,1
215,ALAMCO INC,10742,1981,1226,1996,1226,1,1981,1996,0
216,ALAMITO CO,11240,1984,1227,1985,1227,1,1984,1985,0
217,ALANCO TECHNOLOGIES INC,11612,1980,1228,2006,1228,1,1980,2006,
218,ALANTHUS CORP,11634,1967,1229,1977,1229,1,1967,1977,0
219,ALASKA AIR GROUP INC,11659,1960,1230,2006,1230,1,1960,2006,
220,ALASKA GOLD CO,11703,1975,1231,1994,1231,1,1975,1994,
221,ALASKA INTL INDUSTRIES INC,11723,1974,1232,1978,1232,1,1974,1978,
222,ALASKA NORTHWEST PROPERTIES,11750,1980,1233,1995,1233,1,1980,1995,
223,ATRION CORP,49904,1962,1234,2006,1234,1,1962,2006,1
224,ALBA-WALDENSIAN INC,12041,1963,1235,1998,1235,1,1963,1998,1
225,ALBANY INTL CORP  -OLD,12347,1966,1236,1982,14084,1,1966,1982,1
226,ALBEE HOMES INC,12644,1960,1237,1971,1237,1,1960,1971,
227,ALBERTA ENERGY CO LTD,12873,1987,1238,2001,1238,1,1987,2001,1
228,ALBERTO-CULVER CO,13078,1956,1239,2006,1239,1,1956,2006,1
229,ALBERTSON'S INC,13104,1961,1240,2005,1240,1,1961,2005,0
230,ALBION INTL RESOURCES INC,13325,1984,1241,1988,1241,1,1984,1988,
231,ALBUQUERQUE WESTN SOLAR INDS,13655,1978,1242,1985,1242,1,1978,1985,
232,ALCAN INC,13716,1950,1243,2006,1243,1,1950,2006,1
233,ALCIDE CORP,13742,1983,1244,2002,1244,1,1983,2002,1
234,AMERISOURCE CORP,03071N,1984,1245,1994,145120,1,1984,1994,0
235,IKON OFFICE SOLUTIONS,451713,1954,1246,2006,1246,1,1954,2006,1
236,ALCOLAC INC,13880,1964,1247,1980,1247,1,1964,1980,1
237,ALCON LABORATORIES INC,13896,1962,1248,1976,1248,1,1962,1976,1
238,ALDEBARAN DRILLING CO INC,13900,1982,1249,1985,1249,1,1982,1985,
239,ALDEN ELECTRONICS INC,14086,1973,1250,1995,1250,1,1973,1995,1
240,ALDON INDUSTRIES INC,14419,1974,1251,1985,1251,1,1974,1985,1
241,ALDRICH CHEMICAL INC,14428,1967,1252,1974,1252,1,1967,1974,
242,ALEXANDER & ALEXANDER,14476,1968,1253,1995,1253,1,1968,1995,
243,ALEXANDER & BALDWIN INC,14482,1962,1254,2006,1254,1,1962,2006,
244,ALEXANDER ENERGY CORP,14617,1980,1255,1995,1255,1,1980,1995,
245,ALEXANDER HAMILTON INST INC,14626,1968,1256,1969,1256,1,1968,1969,
246,ALEXANDER'S INC,14752,1969,1257,2006,1257,1,1969,2006,
247,CAPCO ENERGY INC,13916P,1981,1258,2005,1258,1,1981,2005,
248,ALFACELL CORP,15404,1984,1259,2006,1259,1,1984,2006,1
249,ADRIEN ARPEL INC,7361,1983,1260,1998,1260,1,1983,1998,
250,ALGERAN INC,15599,1979,1261,1982,1261,1,1979,1982,0
251,ALGOMA STEEL INC,01566M,1987,1263,2006,1263,1,1987,2006,1
252,ALGOREX CORP,15867,1974,1264,1991,1264,1,1974,1991,1
253,AMERICAN EAGLE RESOURCES INC,02553L,1984,1265,1997,1265,1,1984,1997,
254,ALICO INC,16230,1962,1266,2006,1266,1,1962,2006,0
255,ALISON AYRES INC,16410,1974,1267,1979,1267,1,1974,1979,
256,ALL AMERICAN BURGER INC,16476,1979,1268,1980,1268,1,1979,1980,
257,ALL AMERICAN GOURMET CO,16505,1984,1269,1986,1269,1,1984,1986,
258,ALL AMERICAN INDUSTRIES INC,16509,1974,1270,1981,1270,1,1974,1981,1
259,ALL SEASONS RESORTS INC,16634,1984,1271,1988,1271,1,1984,1988,
260,ALL STATE PROPERTIES  -LP,16662,1978,1272,2006,1272,1,1978,2006,
261,ALL-STATES LEASING CO,16666,1976,1273,1979,1273,1,1976,1979,
262,ALLEGHANY CORP,17175,1974,1274,2006,1274,1,1974,2006,
263,ALLEGHENY & WESTERN ENER-OLD,01799Y,1982,1275,1985,1275,1,1982,1985,
264,ALLEGHENY & WESTERN RAILWAY,17230,1974,1276,1983,1276,1,1974,1983,
265,ALLECO INC,16783,1967,1277,1994,1277,1,1967,1994,0
266,SUNBEAM CORPORATION,867071,1950,1278,1999,1278,1,1950,1999,1
267,ALLEGHENY ENERGY INC,17361,1951,1279,2006,1279,1,1951,2006,
268,ALLEGRI-TECH INC,17483,1960,1280,1972,1280,1,1960,1972,
269,ALLEN TELECOM INC,18091,1950,1281,2002,1281,1,1950,2002,1
270,ALLEN (R C) INC,17645,1960,1282,1972,1282,1,1960,1972,
271,ALLEN ORGAN CO  -CL B,17753,1961,1283,2004,1283,1,1961,2004,1
272,ALLERGAN PHARMACEUTICALS INC,18492,1970,1284,1978,1284,1,1970,1978,
273,ALLIANCE TIRE &RUBBER  -CL A,18789,1960,1285,1987,1285,1,1960,1987,
274,ALLIANCE NORTHWEST INDS INC,18716,1984,1286,1994,1286,1,1984,1994,
275,ALLIED AERO INDUSTRIES INC,18843,1962,1287,1971,1287,1,1962,1971,
276,ALLIED ARTISTS INDUSTRIES,18859,1960,1288,1977,1288,1,1960,1977,
277,ALLIED ARTISTS PICTURES CORP,18861,1960,1289,1974,1289,1,1960,1974,
278,ALLIED BANCSHARES INC-TX,18870,1974,1290,1986,1290,1,1974,1986,
279,ALLIED CONTROL INC,19105,1960,1291,1973,1291,1,1960,1973,
280,ALLIED FARM EQUIPMENT  -CL A,19177,1974,1292,1988,1292,1,1974,1988,
281,ALLIED FOODS INC,19213,1969,1293,1981,1293,1,1969,1981,
282,ALLIED MAINTENANCE,19267,1960,1294,1981,1294,1,1960,1981,
283,ALLIED MILLS INC,19285,1950,1295,1972,1295,1,1950,1972,
284,ALLIED NURSING CARE INC,19359,1982,1296,1985,1296,1,1982,1985,
285,ALLIED PRODUCTS,19411,1950,1297,1999,1297,1,1950,1999,1
286,ALLIED RESEARCH ASSOC INC,01999Z,1964,1298,1972,1298,1,1964,1972,
287,ALLIED SECURITY INC-OLD,19509,1974,1299,1989,1299,1,1974,1989,
288,HONEYWELL INTERNATIONAL INC,438516,1950,1300,2006,1300,1,1950,2006,1
289,ALLIED STORES,19519,1950,1301,1990,1301,1,1950,1990,
290,ALLIED SUPERMARKETS,19537,1956,1302,1987,1302,1,1956,1987,
291,ALLIED TECHNOLOGY INC,19547,1974,1303,1979,1303,1,1974,1979,
292,ALLIED TELEPHONE,19555,1962,1304,1982,1304,1,1962,1982,
293,ALLIED THERMAL CORP,19573,1960,1305,1976,1305,1,1960,1976,1
294,ALLIED VAN LINES INC,19580,1971,1306,1986,1306,1,1971,1986,1
295,ALLIS-CHALMERS CREDIT CORP,19625,1979,1307,1984,1307,1,1979,1984,
296,ALLIS-CHALMERS ENERGY INC,19645,1950,1308,2006,1308,1,1950,2006,1
297,ALLISON STEEL MFG CO,19717,1960,1309,1970,1309,1,1960,1970,
298,ALLISTER CORP,19740,1974,1310,1983,1310,1,1974,1983,0
299,ALC COMMUNICATIONS INC,1575,1982,1311,1994,1311,1,1982,1994,
300,ALLOY METAL PRODUCTS INC,19852,1974,1312,1986,1312,1,1974,1986,
301,ALLOYS UNLIMITED INC,19861,1960,1313,1969,1313,1,1960,1969,
302,ALLRIGHT AUTO PARKS INC,19879,1963,1314,1981,1314,1,1963,1981,1
303,ALLY & GARGANO INC,19901,1983,1315,1985,1315,1,1983,1985,0
304,ALLSTATE FINANCIAL CORP,20010,1977,1316,1981,1316,1,1977,1981,
305,ALLSTATE INDUSTRIES INC,20015,1960,1317,1967,1317,1,1960,1967,
306,ALLTEL CORP,20039,1961,1318,2006,1318,1,1961,2006,1
307,ALLYN & BACON INC,20051,1951,1319,1979,1319,1,1951,1979,
308,ALMADEN VINEYARDS INC-DEL,20287,1972,1320,1976,1320,1,1972,1976,
309,ALMY STORES INC,20425,1967,1322,1983,1322,1,1967,1983,
310,ALNAN INC,20435,1961,1323,1974,1323,1,1961,1974,0
311,SCHERER HEALTHCARE INC,806530,1975,1324,2001,1324,1,1975,2001,1
312,ALOHA INC,20486,1974,1325,1985,1325,1,1974,1985,1
313,ALPEX COMPUTER CORP,20714,1975,1326,1981,1326,1,1975,1981,1
314,SKYWORKS SOLUTIONS INC,83088M,1965,1327,2006,1327,1,1965,2006,1
315,ALPHA SOLARCO INC,20774,1979,1328,1995,1328,1,1979,1995,1
316,ALPHANUMERIC INC,20789,1974,1329,1981,1329,1,1974,1981,
317,ALPHATYPE CORP,20815,1974,1330,1980,1330,1,1974,1980,1
318,ALPINE GROUP INC,20825,1973,1331,2005,1331,1,1973,2005,
319,ASIA SUPERNET CORP,04517Q,1974,1332,1999,1332,1,1974,1999,0
320,ALPHA PETROLEUM EXPLORATION,20902,1979,1333,1983,1333,1,1979,1983,
321,NQL INC,629369,1980,1334,2000,1334,1,1980,2000,
322,ALLTEL NEW YORK INC,01999X,1976,1335,1996,1335,1,1976,1996,
323,ALLTEL PENNSYLVANIA INC,01999Y,1974,1336,2002,1336,1,1974,2002,
324,ALLTEL ILLINOIS INC,02099Z,1974,1337,1992,1337,1,1974,1992,
325,ALTA ENERGY CORP-OLD,02199Y,1982,1338,1989,20063,1,1982,1989,
326,ALTA INDUSTRIES CORP,21276,1974,1339,1978,1339,1,1974,1978,
327,ALTA LOMA OIL CO,21330,1974,1340,1978,1340,1,1974,1978,
328,ALTAIR CORP-DEL,21367,1962,1341,1984,1341,1,1962,1984,1
329,ALTAIR CORP-PUERTO RICO,21368,1981,1342,1983,1342,1,1981,1983,
330,ALTAMIL CORP,21375,1960,1343,1982,1343,1,1960,1982,
331,ALTEC CORP,21438,1965,1344,1983,1344,1,1965,1983,1
332,ALTERMAN INVESTMENT FUND,21447,1955,1345,1978,1345,1,1955,1978,
333,ALTERNACARE CORP,21450,1984,1346,1986,1346,1,1984,1986,0
334,ALTEX OIL CORP,21456,1975,1347,1984,1347,1,1975,1984,
335,ALTIUS CORP,21492,1973,1348,1983,1348,1,1973,1983,0
336,ALTON PACKAGING CORP,21690,1970,1349,1980,1349,1,1970,1980,1
337,ALTOS COMPUTER SYS,22060,1982,1350,1989,1350,1,1982,1989,
338,ALTRON INC,22092,1983,1351,1997,1351,1,1983,1997,1
339,ALCOA INC,13817,1950,1356,2006,1356,1,1950,2006,1
340,ALUMINUM CO OF CANADA LTD,22267,1974,1357,1986,1357,1,1974,1986,1
341,ALUMINUM SPECIALTY CO,22303,1962,1358,1972,1358,1,1962,1972,
342,ALZA CORP,22615,1975,1359,2000,1359,1,1975,2000,1
343,SENTO CORP,816918,1974,1360,2005,1360,1,1974,2005,0
