62599_1999ps,30203_ps,0.126
62599_1999ps,22170_ps,0.433
129466_2001ps,25523_ps,0.327
12233_2001ps,66027_ps,0.347
24344_2001ps,64931_ps,0.338
7257_2001ps,138470_ps,0.375
16436_2001ps,121755_ps,0.152
29386_2001ps,62738_ps,0.117
29085_2001ps,61048_ps,0.119
62730_2001ps,13608_ps,0.122
2942_2001ps,9051_ps,0.089
66507_2001ps,64145_ps,0.137
4321_1999ps,3736_ps,0.016
124198_2001ps,120818_ps,0.286
13365_2001ps,12580_ps,0.428
25279_2001ps,63038_ps,0.286
61439_2001ps,62581_ps,0.123
28139_2001ps,9313_ps,0.093
4145_2001ps,134451_ps,0.39
10453_2001ps,5122_ps,0.126
137572_2001ps,62925_ps,0.114
5606_2001ps,3282_ps,0.104
121053_1999ps,62753_ps,0.159
31477_2001ps,30781_ps,0.124
1078_2001ps,66416_ps,0.274
6066_2001ps,134984_ps,0.151
16710_2001ps,122838_ps,0.099
24008_2001ps,63934_ps,0.407
62784_2001ps,24220_ps,0.348
7251_2001ps,22823_ps,0.081
3011_2002ps,24877_ps,0.418
138347_2002ps,29436_ps,0.112
61439_1999ps,20969_ps,0.095
101317_2002ps,133729_ps,0.422
64356_2002ps,135914_ps,0.162
2086_2002ps,63004_ps,0.247
6922_2002ps,62859_ps,0.171
101076_2002ps,112001_ps,0.324
5988_2002ps,25390_ps,0.208
13421_2002ps,143444_ps,0.141
13824_2002ps,60901_ps,0.151
9715_2002ps,3798_ps,0.12
121257_2002ps,134744_ps,0.104
6008_1999ps,30034_ps,0.137
8530_2002ps,7536_ps,0.423
141469_2002ps,134869_ps,0.28
126734_2002ps,21507_ps,0.056
126734_2002ps,123080_ps,0.138
12141_2002ps,129635_ps,0.103
125604_2002ps,138487_ps,0.094
6266_2002ps,132641_ps,0.266
105872_2002ps,61723_ps,0.299
13440_2002ps,137357_ps,0.128
65368_1999ps,31465_ps,0.299
12796_2002ps,121693_ps,0.466
25976_2002ps,121835_ps,0.105
24409_2002ps,138701_ps,0.135
62634_2002ps,111488_ps,0.094
7585_2003ps,126298_ps,0.125
13623_2003ps,64680_ps,0.341
6266_2003ps,138490_ps,0.34
12180_2003ps,115750_ps,0.413
9098_2003ps,119081_ps,0.203
3980_1999ps,63021_ps,0.203
1651_2003ps,1281_ps,0.067
136884_2003ps,24881_ps,0.404
25807_2003ps,30061_ps,0.709
12718_2003ps,3769_ps,0.129
111965_2003ps,62526_ps,0.434
3580_2003ps,28337_ps,0.091
61685_2003ps,138345_ps,0.14
25944_2003ps,65466_ps,0.149
9340_2002ps,141390_ps,0.396
65578_1999ps,9120_ps,0.44
132502_2003ps,137067_ps,0.105
12142_2003ps,25944_ps,0.141
24468_2003ps,2226_ps,0.439
6097_2003ps,29069_ps,0.471
221237_2003ps,137394_ps,0.195
62634_2003ps,121436_ps,0.123
15290_2003ps,25164_ps,0.196
61498_2003ps,110160_ps,0.147
12233_2003ps,29390_ps,0.431
23945_2003ps,30546_ps,0.435
2504_1999ps,20903_ps,0.152
25774_2003ps,128620_ps,0.142
12053_2003ps,62005_ps,0.087
8530_2003ps,138703_ps,0.424
12233_2004ps,64412_ps,0.421
4213_2004ps,1244_ps,0.349
1602_2004ps,127384_ps,0.431
12124_2004ps,24486_ps,0.394
126721_2004ps,11722_ps,0.127
8606_2004ps,3277_ps,0.181
11040_1999ps,30742_ps,0.43
138129_2004ps,109423_ps,0.31
2751_2004ps,15315_ps,0.13
10420_2004ps,63678_ps,0.113
134308_2004ps,133164_ps,0.414
111492_2004ps,111492_ps,0.391
15803_2004ps,21685_ps,0.413
3504_2004ps,65217_ps,0.188
61398_2004ps,141098_ps,0.122
109425_2004ps,28937_ps,0.337
20779_2004ps,124359_ps,0.118
65068_1999ps,62593_ps,0.22
7773_1999ps,29092_ps,0.035
9372_2004ps,64497_ps,0.292
24352_2004ps,121720_ps,0.139
