H000000000333,1974,1013,2006,,,,,,,,,
A000011832698,1974,1016,1987,,,,,,,,,
H000000040209,1960,1017,1994,,,,,,,,,
A000010853974,1950,1043,1999,,,,,,,,,
H000000002436,1984,1055,1996,,,,,,,,,
A000010111144,1982,1065,1990,,,,,,,,,
A000011921821,1960,1067,1983,,,,,,,,,
A000010476267,1973,1072,2006,,,,,,,,,
A000012024848,1973,1072,2006,,,,,,,,,
A000010334594,1950,1078,2006,,,,,,,,,
A000010652336,1950,1078,2006,,,,,,,,,
A000010699306,1950,1078,2006,,,,,,,,,
A000011671697,1950,1078,2006,,,,,,,,,
A000012900620,1950,1078,2006,,,,,,,,,
H000000000182,1950,1078,2006,,,,,,,,,
H000000000739,1950,1078,2006,,,,,,,,,
H000000000768,1950,1078,2006,,,,,,,,,
H000000001078,1950,1078,2006,,,,,,,,,
H000000005378,1950,1078,2006,,,,,,,,,
H000000000521,1974,1090,1997,,,,,,,,,
A000010613293,1968,1098,1995,,,,,,,,,
A000010481522,1963,1122,1986,,,,,,,,,
H000000028762,1973,1139,1980,,,,,,,,,
A000010043426,1972,1161,2006,,,,,,,,,
A000010067150,1972,1161,2006,,,,,,,,,
A000010083419,1972,1161,2006,,,,,,,,,
A000010283079,1972,1161,2006,,,,,,,,,
A000010443080,1972,1161,2006,,,,,,,,,
A000010459780,1972,1161,2006,,,,,,,,,
A000010949708,1972,1161,2006,,,,,,,,,
A000011003222,1972,1161,2006,,,,,,,,,
A000011596455,1972,1161,2006,,,,,,,,,
H000000000158,1972,1161,2006,,,,,,,,,
A000011740446,1974,1164,2004,,,,,,,,,
A000012406746,1981,1166,2006,,,,,,,,,
H000000069097,1972,1177,2006,,,,,,,,,
H000000143714,1972,1177,2006,,,,,,,,,
A000011596455,1950,1209,2006,,,,,,,,,
H000000000158,1950,1209,2006,,,,,,,,,
A000010052739,1950,1215,1977,,,,,,,,,
H000000000738,1950,1221,1981,,,,,,,,,
A000010488380,1962,1234,2006,,,,,,,,,
H000000012220,1962,1234,2006,,,,,,,,,
A000011216384,1966,1236,1982,1986,14084,2006,,,,,,
H000000000554,1966,1236,1982,1986,14084,2006,,,,,,
H000000012663,1983,1244,2002,,,,,,,,,
A000011054960,1962,1248,1976,,,,,,,,,
H000000001193,1962,1248,1976,,,,,,,,,
A000011443214,1950,1281,2002,,,,,,,,,
H000000006730,1950,1281,2002,,,,,,,,,
A000010094016,1950,1300,2006,,,,,,,,,
A000010107597,1950,1300,2006,,,,,,,,,
A000010157481,1950,1300,2006,,,,,,,,,
A000010399484,1950,1300,2006,,,,,,,,,
A000010633647,1950,1300,2006,,,,,,,,,
A000010935674,1950,1300,2006,,,,,,,,,
A000011268110,1950,1300,2006,,,,,,,,,
A000011806140,1950,1300,2006,,,,,,,,,
A000022117616,1950,1300,2006,,,,,,,,,
H000000000031,1950,1300,2006,,,,,,,,,
H000000000082,1950,1300,2006,,,,,,,,,
H000000001941,1950,1300,2006,,,,,,,,,
A000010037162,1950,1356,2006,,,,,,,,,
A000010408808,1950,1356,2006,,,,,,,,,
A000010545965,1950,1356,2006,,,,,,,,,
A000010871271,1950,1356,2006,,,,,,,,,
H000000000891,1950,1356,2006,,,,,,,,,
A000011046456,1975,1359,2000,2001,6266,2006,,,,,,
A000012510245,1975,1359,2000,2001,6266,2006,,,,,,
A000011968584,1957,1379,1983,,,,,,,,,
A000010443080,1976,1392,1996,,,,,,,,,
H000000002113,1976,1392,1996,,,,,,,,,
H000000000024,1950,1408,2006,,,,,,,,,
A000010060722,1950,1430,1993,1994,1478,2006,,,,,,
A000010061853,1950,1430,1993,1994,1478,2006,,,,,,
A000010144127,1950,1430,1993,1994,1478,2006,,,,,,
A000011795522,1950,1430,1993,,,,,,,,,
H000000000402,1950,1430,1993,1994,1478,2006,,,,,,
H000000000413,1950,1430,1993,1994,1478,2006,,,,,,
H000000000664,1950,1430,1993,1994,1478,2006,,,,,,
H000000001392,1950,1430,1993,1994,1478,2006,,,,,,
H000000002751,1950,1430,1993,1994,1478,2006,,,,,,
H000000008571,1950,1430,1993,,,,,,,,,
A000010787924,1962,1434,1984,1985,15349,1996,,,,,,
A000010461730,1960,1447,2006,,,,,,,,,
A000011191933,1960,1447,2006,,,,,,,,,
H000000188242,1960,1447,2006,,,,,,,,,
A000011834082,1950,1478,2006,,,,,,,,,
A000011921076,1950,1478,2006,,,,,,,,,
A000012118024,1950,1478,2006,,,,,,,,,
H000000000095,1950,1478,2006,,,,,,,,,
H000000002810,1950,1478,2006,,,,,,,,,
H000000005378,1950,1478,2006,,,,,,,,,
H000000000960,1950,1481,1984,,,,,,,,,
H000000005381,1950,1481,1984,,,,,,,,,
A000012176055,1984,1485,1998,,,,,,,,,
H000000005741,1963,1498,1994,,,,,,,,,
A000010075221,1969,1512,1980,,,,,,,,,
A000013043701,1979,1522,1981,,,,,,,,,
H000000004067,1967,1554,2006,,,,,,,,,
A000010493524,1950,1567,2006,,,,,,,,,
H000000001604,1960,1571,1983,,,,,,,,,
